Place,State,Ideal Time to Visit,Ideal duration,Starting Budget,Main Attraction,About,Top Places to Visit
Jaisalmer,Rajasthan    India,Oct-Mar,2-3 days," ₹ 12,000"," ""The Golden City"" "," Jaisalmer is a major tourist spot located in the northwestern state of Rajasthan in India. It is known as the 'golden city' due to its bounteous golden dunes and castles clad in golden honey sandstone. Jaisalmer is adorned with lakes, ornate Jain temples and havelis. Climb on to the camel saddle and make your way through this desert or camp under the night sky in this golden land for an unforgettable experience. The Jaisalmer Fort stands as a citadel and is surrounded by narrow alleys inhabited by people residing there for generations. With shops selling colourful handicrafts and havelis that will make you travel back in time, Jaisalmer is an amalgam of exotic Indian desert culture, heritage and adventure.","Jaisalmer Fort, Desert Safari in Jaisalmer, Kuldhara Village, Jain Temples in Jaisalmer, Desert National Park, Gadisar Lake"
Mumbai,Maharashtra    India,October - February,3-5 days, ₹ 300," ""The City of Dreams"" "," Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles. The city soaks in everything into its fabric, making it its very own. From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.","Marine Drive, Mumbai, Gateway of India, Colaba Causeway, Juhu Beach, Siddhivinayak Temple, Haji Ali Dargah"
Rishikesh,Uttarakhand    India,September to June,2-3 days," ₹ 6,396"," ""Yoga Capital of the World"" "," Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular cafes and as the ""Yoga Capital of the World"". Gateway to Garhwal Himalayas, Rishikesh is also a pilgrimage town and one of the holiest places for Hindus. Rishikesh became known worldwide in the 1960s after The Beatles visited the ashram of Maharishi Mahesh Yogi here. Today, the place is popular as The Beatles Ashram which beckons tourists globally. The tranquil town has long been a spiritual centre but is equally popular for the whitewater rafting, bungee jumping, mountain biking and camping along the fast-flowing Holy Ganges. It also serves as the gateway to many Himalayan treks.As it lies on the holy banks of river Ganga, Rishikesh has been a hub of Sadhus (saints) with numerous ashrams teaching spirituality, yoga, meditation and Ayurveda springing up. Since it is a religious town, non-vegetarian food and alcohol are strictly prohibited here. Rishikesh sees the most beautiful evening aarti on the banks of the river Ganga, which is not too crowded unlike its contemporaries in Varanasi, and Haridwar. The International Yoga Festival is organised here in the first week of March which sees yoga enthusiasts from all over the globe.Rishikesh is divided into two main areas - the downtown area known as Rishikesh town which is where the popular Triveni Ghat is situated. 2 km upstream from the popular Ram Jhula and Lakshman Jhula is the other side of Rishikesh where most of the popular ashrams, cafes, accommodation and tourists can be found. Haridwar and Rishikesh are the first Indian cities to be given the title of ""twin national heritage cities"".","Rafting in Rishikesh, Lakshman Jhula, Triveni Ghat, The Beatles Ashram, Ganga Aarti, Rishikesh, Cliff Jumping"
Alleppey,Kerala    India,June - March,1-2 days," ₹ 7,500"," ""Backwaters, Beaches and Lagoons - Venice of the East"" "," Officially called Alappuzha, Alleppey is a city in the South Indian state of Kerala. Bordering the Laccadive Sea, it is known for its wide network of interlinking, palm-fringed canals called backwaters and rejuvenating Ayurvedic resorts. Allepey is also popular for its Houseboat cruises that pass through the serene backwaters, where you can catch glimpses of green paddy fields, choir making activities, beautiful avifauna and witness the life of locals in Kerala.  Towards the shore lies the Alleppey beach in the Arabian Sea, a beautiful example of the gems you’d find along the Malabar Coast. The appeal of this beach is only amplified by the history attached to it, and a walk down the 137-year old pier is a must. Be sure to catch a traditional snake boat race in the months of August and September and try out some toddy (palm wine) at a local toddy shop for adding a touch of authenticity to your travel experience in Allepey.","Houseboats, Alappuzha Beach, Alleppey Backwaters, Vembanad Lake, Nehru Trophy Boat Race, Krishnapuram Palace"
Munnar,Kerala    India,September - March,2-3 days," ₹ 4,498"," ""Tea Gardens, Lakes and Pretty little hill-station"" "," Munnar is a popular hill-station of Kerala perched at an altitude of 1600 metres in the Western Ghats. Famous for its tea estates, various shades of green, blankets of mist and craggy peaks, Munnar is aptly known as the 'Kashmir of South India'. Situated on the banks of three rivers- Madupetti, Nallathanni and Periavaru, Munnar is also blessed with natural view-points apart from the tea-plantations. Munnar is divided into Old Munnar, where the tourist information office is, and Munnar, where the bus station and most guest houses are located. The Eravikulam National Park, Salim Ali Bird Sanctuary and tea plantations are its major attractions.","Echo Point, Munnar, Photo Point, Atukkad Waterfalls, Top Station, Pothamedu View Point, Tata Tea Museum (KDHP Museum)"
Bangalore,Karnataka    India,Throughout the year,2-3 days, ₹ 180," ""Garden city of India"" "," Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee roasters and pubs dotting every corner of the city, serving cuisines from all over the world. Brunches, buffets, burgers, rooftop cafes, late-night eats - Bangalore has it all. Here, one can choose to take a long stroll through the beautiful Cubbon Park, shop in the many malls or street markets or hop into one of the many acclaimed breweries for a cold and refreshing drink. There are a huge number of beautifully decorated parks in the city that are ideal for going on a morning stroll or a jog. One walk through the 300-acre Cubbon Park, or the botanical gardens of Lalbagh, and you'll know precisely why Bangalore is so famously called India's 'Garden City'.But just like every big city, the unprecedented growth of IT in Bangalore has reshaped quite a few things including rising temperatures, polluted lakes and heavily congested roads, especially in the newer areas. Aside from the central business and commercial districts (and the roads leading up to them), the neighbourhoods of Bangalore are mostly quiet and serene, especially the older parts of the city like Jayanagar and J.P Nagar. ","Bangalore Palace, Cubbon Park, MG Road, Bangalore, Lalbagh, Bannerghatta National Park, UB City Mall"
Varkala,Kerala    India,Throughout the year,1-2 days," ₹ 9,000"," ""The hidden treasure of Kerala"" "," Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru. Varkala is also known for Jardana Swami Temple, also known as Dakshin Kashi. Varkala has some of the best pristine beaches, hills, lakes, forts, lighthouses, natural fisheries and springs - all of this together makes this town a little paradise. You will also find a lot of shops with signboards in Hebrew selling Yoga mats, oxidised silver jewellery and harem pants made of cotton. Ayurvedic spas, affordable resorts, hostels, clean beaches make it a must-visit city of Kerala.","Water Sports in Varkala, Varkala Beach, Edava Beach, Thiruvambadi Beach, Anjengo Fort, Sivagiri Mutt"
Jodhpur,Rajasthan    India,Nov-Feb,1-2 days," ₹ 7,766"," ""The Blue City"" "," Also known as the ""The Blue City"", ""Sun City"" and ""Gateway to Thar"", Jodhpur is famous for its Mehrangarh fort, blue houses, temples, sweets and snacks. Apart from the fort, there are multiple temples, lakes, shopping streets that are like a mirage from a bygone era.  The former capital of Marwar, Jodhpur is one of the most enchanting cities of Rajasthan, with its mighty Mehrangarh fort overlooking the city. The city is called the Blue City as it looks completely blue in colour from an aerial view because of its blue walls and blue houses. Nearby Jaswant Tada and Umaid Bhawan Palace are also among the top attractions in Jodhpur. However, the magic lies in the old city itself with hundreds of shops, guesthouses, eating joints and vendors make it a chirpy bustling city, especially near the landmark clock tower and Sardar Market.Seen in the backdrop of the movie, The Dark Knight Rises, Jodhpur attracts hundreds of thousands of visitors from all over the world. Jodhpur is conveniently located in the centre of Rajasthan making it easier for people visiting Jodhpur to explore other destinations of the state.","Mehrangarh Fort, Jaswant Thada, Mandore Garden, Umaid Bhawan Palace, Flying Fox Jodhpur, Ghanta Ghar"
Shimla,Himachal Pradesh    India,March - June,2-4 days," ₹ 7,000"," ""The Hill-Station with Rich Colonial History"" "," Shimla is the capital Himachal Pradesh in India and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly Mall Road and the ridge lined up with multiple shops, cafes and restaurants. The weather is pleasant for most of the months with tourists flocking especially during the summer months. The winters are cold with some days of snow from mid-December till February end. Shimla is well connected with many cities and is just 4 hours from the nearby city of Chandigarh. The city has an airport as well; however, there aren't many daily flights from here. The railway station connects Shimla with the plans and is famous for the Kalka-Shimla train route; a UNESCO listed World Heritage site.Shimla is often covered with nearby towns of Kufri, a hill-station almost always covered by snow and Chail, famous for a huge palace and the highest cricket ground in the world. Tourists also visit the famous Jakhu Temple and engage in sightseeing at various viewpoints during their trip to Shimla.","The Ridge, Kufri, Chail, Kalka Shimla Toy Train, Tattapani, Mall Road, Shimla"
Gangtok,Sikkim    India,Throughout the year,2-4 days," ₹ 11,934"," ""The Gateway to Sikkim"" "," Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base for adventure enthusiasts comprising of trekkers and campers to the Himalayan mountain ranges. During the months of March to Mid-May, blooming of wild Rhododendrons transform the surrounding regions in vast fields of colourful carpets. Its name meaning hill-top, Gangtok can be safely said to be one of the most beautiful hill stations in the country. With everything in just the right amount from a blend of cultural identities to urbanisation, Gangtok is a breathing and dynamic bit of paradise of the northeast. Gangtok and its surrounding regions are abundant in natural beauty and have various natural attractions such as the Tsomgo Lake, Ban Jhakri falls, Tashi viewpoint and more. Other places to visit include many famous religious sites such as the Enchey Monastery, Ganesh Tok, Do Drul Chorten Rumtek Monastery, etc. Also, river Teesta is one of the best spots for white water rafting in North East India.","Nathula Pass, MG Road, Gangtok, Rumtek Monastery, Tsomgo Lake, Ganesh Tok, Namgyal Institute of Tibetology"
Srinagar,Jammu & Kashmir    India,April - October,3-5 days," ₹ 4,514"," ""The Paradise on Earth"" "," Famously known as ‘Heaven on Earth’, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. As picturesque as the most stunning painting to ever be painted, Srinagar is known for the stationary houseboats and colourful Shikararas on Dal Lake. The main draw of Sringara, the gondola-type rowboats - Shikaras are used by the tourists to see attractions like the Floating Vegetable Market, and the Mir Bahris – a lively community of people who live on the lake itself. Known as the summer capital of Jammu & Kashmir, Srinagar is home to some of the most exquisite Mughal-age gardens in India, with the top attractions being Nishat Bagh, Shalimar Bagh and Chashm-E-Shahi Garden. Kashmiri cuisine is famous all over the globe, so when in Srinagar, trying out the local dishes, which are rich in unique fragrant spices, is a must. Srinagar is also famous for the Kashmiri shawls, Kashmiri apples and the dried fruits (almonds and walnuts) which can be bought from the Lal Chowk Market. Heavy snowfall affects the connectivity of Srinagar during the winter months of December to February. Communal tensions also lead to frequent curfews in some parts of the city. Make sure to check the situation before visiting. ","Dal Lake, Shalimar Bagh, Wular Lake, Shikara Ride, Baramulla, Nishat Bagh"
Darjeeling,West Bengal    India,"February-March, September-December",2-3 days," ₹ 8,375"," ""Queen of The Himalayas"" "," Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata. A respite from the hot and humid summers of India, Darjeeling is a popular tourist destination in North-East India. Providing a heady mixture of splendid tea gardens on rolling mountain slopes, meandering toy train rides through the picturesque city, and delectable traditional Tibetan cuisine, Darjeeling works wonders to cater to the gorgeous panorama of the Himalayas.There is a reason the city is known as the 'Queen of the Himalayas'. The lush green slopes dotted with women plucking tea leaves is a sight as mesmerising as no other. There are over 86 tea estates in Darjeeling that are responsible for producing the worldwide famous 'Darjeeling Tea'. Have a cup of locally brewed chai at the tea estate, or get down amidst the plantations to pluck a few tea leaves yourself, you are free to take your pick!A previous summer capital of India under the British Raj, Darjeeling has come off age as one of the most sought after hill stations in India. Famous for its beautiful tea plantations and the quality of Darjeeling tea, Darjeeling is a delight for all kind of tourists. The toy train established back in 1881, still runs in this part and is also one of the UNESCO World Heritage sites. Beautiful colonial architecture including mansions and churches dot this little beautiful town. Filled with people from Tibet, Nepal, nearby Indian states and the Gorkhas, Darjeeling is brimming with cultural diversity. The third highest peak in the world and the highest in India, the Kanchenjunga peak is clearly visible from here and you can enjoy a panoramic view of the peak. Some of Darjeeling's most popular attractions include monasteries, botanical gardens, a zoo, and the Darjeeling-Rangeet Valley Passenger Ropeway cable car which happens to be the longest Asian cable car. Darjeeling is a wonderful place to walk around and explore the tea estates, villages, and markets.","Darjeeling Himalayan Railway, Tiger Hill, Batasia Loop, Darjeeling Ropeway, Himalayan Mountaineering Institute, Nightingale Park"
