Destination	Place	Rating	Description
Goa	Bambolim Beach	3.4	Bambolim Beach is a pristine beach located in Bambolim in North Goa, 7 kilometres away from Panjim. It is famous for being a virgin beach, untouched by commercialization and is barely ever crowded.
Goa	Butterfly Conservatory Of Goa	3.4	The Butterfly Conservatory of Goa is a butterfly sanctuary and garden in the Ponda district of Goa. Spread over 4000 square metres, it is designed as a place to stroll and absorb in the serene beauty of nature. In the vast expanses of the garden, one can take a leisurely walk and observe over a hundred different species of butterflies from close quarters.
Goa	Tito's Nightclub	3.5	Titos nightclub is one of the top things to do in Goa for most tourists. Located in Calangute, Tito's is one of the most famous nightclubs in Goa. The entire lane in Baga, where the pub is located is popularly called Tito lane.
Goa	Sri Mahadeva Temple	3.5	Sri Mahadeva Temple, Tambdi Surla is one of the oldest temples in Goa to Lord Shiva. The inner sanctum of temple has a Shiva Linga mounted on a raised pedestal. There is also a statue of headless Nandi. The locals believe that there is a huge king cobra permanently sitting near the Shiva Linga.
Goa	Fontainhas and Sao Tome	3.5	Fontainhas and Sao Tome is a beautiful Latin Quarter located in Panaji on the banks of the Ourem Creek and named after the natural springs nearby. It was laid out on a piece of land acquired by a Goan in the 18th century who had made a fortune in Mozambique. The quarter is now recognised as a heritage site and is famous for its charming Portuguese style houses on the base of the Altinho hills.
Goa	Church of St Francis of Assisi	3.4	Church of St Francis of Assisi is a 16th-century Portuguese church located near Se Cathedral in Goa. It is a famous landmark which exhibits an eclectic mix of stunning architecture and intricate carvings.
Goa	Cabo de Rama Beach	3.4	Cabo de Rama Beach is a beautiful secluded beach located in Margao, South Goa. Surrounded by tall coconut trees, this beach is perfect for setting up a picnic, playing volleyball, or just spending some quality time.
Goa	Church Of St Augustine	3.4	Church Of St. Augustine is a ruined church complex which was once the biggest church in Goa. Located near Nunnery of Santa Monica in Old Goa, there stands a solo tower (called St Augustine Tower) out of the four towers once forming the Church Of St. Augustine.
Goa	Savoi Spice Plantation	3.4	Savoi Spice Plantation is a 40-hectare organic farm located 15km from Ponda. Established by Mr Shetye, the beautifully maintained farm is popular for the guided tour of the intercrop plantation and the Goan Saraswat Buffet at its Sadauli Restaurant.
Manali	Solang Valley	4.6	A valley between the Beas Kund and the Solang village tends to be a favorite for all its visitors as well as the locals. Also known as the Snow point, the Solang valley is famous not only for the glaciers and snow-clad landscapes but also for the countless activities that one can enjoy here.
Manali	Rohtang Pass	4.4	Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert like landscapes, Spiti and Lahaul, and is one itself. This vast snow desert is a landscape like only a few other and a view one should not miss, while here.
Manali	Old Manali	3.9	On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here.
Manali	Adventure Activities in Manali	3.7	Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer.
Manali	Skiing in Manali	4.0	A major tourist spot of North India, Manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. The undulating slopes of Solang Valley and Rohtang Pass offer a perfect terrain for amateurs to learn their first move while an ideal grounds for professional skiing in Manali. So, if you are an adventure lover, leave yourself in the hands of your professional trainers to feel the thrill of skiing in the picturesque setting of Manali.
Manali	Hidimba Temple	4.4	Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances.
Manali	Vashisht Baths	3.7	While most temples will leave you spiritually rejuvenated, there are a few where you can take a dip into hot water springs and baths, which leave you refreshed and maybe even healthier.
Manali	Paragliding in Manali	4.0	The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. The picture-perfect valley boasts of ideal wind conditions for paragliding and is thronged by both international and domestic tourists. Starting with a basic training course, the operators are well organized, competent and trustworthy.
Manali	Manikaran	3.4	Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country.
Manali	Beas Kund Trek	4.4	The Beas Kund trek is a perfect weekend getaway trek with outstanding views of Pir Pinjal mountain ranges over the Beas river. let your soul get wooed by the spectacular meadows of Dhundi and Bakarthach and finally, the glacial lake at Beas Kund which is worth all the hiking.
Manali	The Great Himalayan National Park	3.4	The newest addition to the list of National parks in India, The Great Himalayan National Park is quickly becoming what the wildlife scene in the region is being identified with and defined by.
Manali	Chandratal Baralacha Trek	3.5	Chandratal Baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. Perched at an altitude of 4,300 meters, Chandratal is one of the high altitude lakes in the Himalayan region. Located on the Samudra Plateau of Spiti Valley, the most delightful sight of sunset gleaming upon the turquoise waters of the lake, pristine landscape, mountain passes, several gushing streams, verdant meadows, the gush of colourful orchards and exotic wildlife make Chandratal Baralacha Trek an unforgotten experience to cherish forever.
Manali	Hampta Pass Trek	3.5	Hampta Pass, situated in the Manali region of the Himachal Pradesh, serves as one of the most convenient and enjoyable treks. Laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape.
Manali	Kullu	3.4	This sister town to Manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines.
Manali	Chandrakhani Pass and the Parvati Valley	3.4	This modest bit of paradise, with its share of snow and clouds is an ideal stretch for trekking and views to lose oneself in. At a flattering height of 3600 meters, nestled in the Parvati Valley, the Chandrakhani pass is a favorite for those who seek natural beauty as well as those in search of adventure with mountains and valleys in the backdrop.
Manali	Manu Temple	3.4	Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture.
Manali	Nehru Kund	3.4	Nehru Kund gets its name from the first Prime minister of India, Jawaharlal Nehru who is said to have had water from the natural spring, when he used to stay in Manali. One still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around.
Manali	Van Vihar, Manali	3.4	Van Vihar is a simple favorite of both tourists as well as locals. This is a municipal garden located on the Mall Road and has a pond for boating surrounded by tall deodar trees watching over.
Manali	Manali Sanctuary	3.9	Manali Sanctuary is home to Mona- the state bird of Himachal Pradesh and a number of other rare and local species. Find here Brown Bear, Musk Dear and maybe even a Snow leopard.
Manali	Bara Bhangal Trek	3.5	Bara Bangal Trek, also known as the Shepherds trail trek, takes you from the lush green Kullu valley to the stark landscapes of Bara Bhangal range.
Manali	Naggar	3.4	Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity.
Manali	Malana	3.4	This village in Kullu, is a bit of shift in the world as we know it. There are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind.
Manali	Deo Tibba Trek	3.5	Cradled in the lap of Himalayan Mountains in Himachal Pradesh, Deo Tibba trek is steeped with the richness of the nature and stunning landscapes. It is a spectacular trail passing through series of grazing pastures of Gaddi shepherds.
Manali	Gayatri temple	3.4	Situated 7 km away from Manali, the Gayatri temple houses an idol of Goddess Gayatri, made of marble. This temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork.
Manali	Jogini Waterfall	3.4	Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.
Manali	Bhunter	3.4	What is generally overlooked as a town of utility only, with an airport and the last ATM before you travel to higher altitudes, is a town where one can have a calm, simple and almost idle break from the popular Himachal hill stations and their tourist rush.
Manali	Bhrigu Lake	3.4	Bhrigu Lake is a high altitude lake located in the district of Kullu about 40 kilometres away from Manali. The route to the lake passes through mesmerising meadows. Not many tourists know about the beautiful Bhrigu Lake Meadows that can be compared with the alpine meadows found at high altitude locations like Switzerland.
Manali	Jana Waterfall	3.4	Jana Waterfall is located in a quaint village named Jana in the mesmerizing valley of Manali. It is a favourite picnic spot and is often visited by people residing nearby to escape the chaotic city life.
Manali	Gulaba	3.4	Gulaba is a beautiful little village located about 20 kilometres from Manali on the route to Rohtang Pass. Gulaba has an enchanting natural landscape that attracts tourists in large numbers. One can explore the region trekking, set up a camp to soak in its natural beauty.
Manali	Gadhan Thekchhokling Gompa Monastery	3.4	Gadhan Thekchhokling Gompa is a well known religious centre primarily for the Buddhists. However, people belonging to any religious belief are welcome to explore and soak in the divine spiritual vibe. The monastery is a small shrine dedicated to Lord Buddha.
Manali	Museum of Himachal Culture & Folk Art	3.4	Museum of Himachal Culture & Folk Art has a beautiful collection of ancient and traditional heritage belonging to the region. The antique artefacts on display at the museum give insights into the long forgotten art, handicraft and the ancient culture of Himachal Pradesh.
Manali	Siyali Mahadev Temple	3.4	Siyali Mahadev Temple is a place of worship dedicated to Lord Shiva and is known as one of the oldest temples of Lord Shiva in the region. The sight of the temple from afar astounds everyone as they witness this unique structure amidst the beautiful natural landscape of Manali.
Manali	Arjun Gufa	3.4	Arjun Gufa is considered to be a legendary natural formation in Manali. The cave is a favourite picnic spot and is also famous for the adventure of exploring the creation from inside. The climb up to the cave is exciting in itself with the surrounding natural landscape so beautiful it cannot be explained in words.
Manali	Rahala Falls	3.4	Rahala Falls is a well-known picnic spot for locals and tourists on their way to Rohtang Pass from Manali often halt to explore the waterfall. The water found at the Rahala Falls is usually cold as the water comes from a melting glacier situated in the Himalayas. The surrounding is thickly vegetated with deodar and Silver Birch trees.
Manali	Himalaya Nyingmapa Buddhist Temple	3.4	Himalayan Nyingmapa Gompa is a Buddhist Monastery located in Manali and is one of the most famous monasteries situated in north India. Its religious significance is highly essential for devotees, but tourists are also drawn for its architectural beauty and tranquillity in the environment.
Manali	Manali Club House	3.4	Club House located in Old Manali is a retreat that offers several facilities and recreational activities for tourists and is, therefore, preferred by tourists. The Club House is said to be one such place in Manali that has something for everyone whether it is indoor games/ sports, entertainment or recreational activities.
Manali	Kothi Village Manali	3.4	Kothi Village is a perfect camping destination and draws tourists for adventure and recreational activities from all across the world. Most trekkers on their way to Rohtang Pass often camp at the village.
Manali	Jagatsukh	3.4	Jagatsukh is a picturesque village, and the capital of Kullu locates about 7 kilometres away from the town of Manali. It is famous for its scenic natural landscape and the ancient Jagatsukh Temples which are religiously important shrines dedicated to Lord Shiva and Goddess Sandhya Devi.
Manali	Gauri Shankar Temple	3.4	Gauri Shankar Temple is dedicated to Lord Shiva and is located in the village of Naggar in Manali. It is mostly visited by tourists and devotees of Shiva. The temple is a small structure carved out of stones but has immense historical importance in the region.
Manali	Keylong	3.4	Nestled between the Lahaul and Spiti district in the state of Himachal Pradesh, Keylong is a serene place perfect for a getaway to unwind. Due to the dry cold weather, the place does not have a lot greenery? but the snow covered mountains covered with mist are picturesque. Situated at an altitude of 3080 meters, Keylong also has a rich culture.
Manali	Rozy Waterfalls	3.4	Rozy Falls is situated en-route Rohtang from Manali and is a popular tourist attraction. Enveloped in tall deodar trees, dense woods and bounteous nature, the silvery cascading water is a visual delight to the eyes and a famous picnic spot.
Manali	Winter Carnival Manali	3.4	The Manali Winter Carnival is Himachal Pradesh's way of welcoming the new year. It started in 1977 and had become an annual feature since then. Held in January, the Winter Carnival in Manali opens an opportunity to witness the beauty of slushy snow and enjoy the events and celebrations that it puts forth. Initially, it only comprised of the Skiing competition, but now it has come to include band performances, food festivals, street plays, folk dances, adventure sports and much more.
Andaman & Nicobar Islands	Scuba Diving In Andaman	4.4	"Andaman and Nicobar Islands is a popular spot for scuba diving among tourists. Most popular island among all the islands for the dives however, is Havelock.It is an ideal diving destination for everyone, right from a novice to an experienced diver. For non-certified amateur divers, charges start from about INR 3,500 for a 30 minute dive"
Andaman & Nicobar Islands	Havelock Island	4.6	Havelock is one of the most popular islands among the 600 in the region and is most developed when it comes to tourism. It is a 2-4 hour ferry ride away from Port Blair.
Andaman & Nicobar Islands	Radhanagar Beach	3.0	With its turquoise blue waters and powdery white sands, Radhanagar Beach repeatedly features on lists of globally ranked beaches, rated Asia's best beach in 2004 by TIME Magazine. This pristine beach finds its place on the much-adored Havelock Island, a tourist’s paradise and the largest of the islands present in this series of water-locked land masses.
Andaman & Nicobar Islands	Cellular Jail	4.5	The Cellular Jail, also known as 'Kala Pani' is an old colonial prison situated in Port Blair, the capital of Andaman and Nicobar islands. Constructed by the Britishers during their colonial rule in India, the jail was used particularly to exile Indian political prisoners. The construction of the jail began in the year 1896 and was completed in 1906, after which it was used to house many notable freedom fighters such as Batukeshwar Dutt, Yogendra Shukla and Vinayak Damodar Savarkar. The jail complex is now owned by the Government of India and it is recognised as the national memorial monument that showcases the life of prisoners during the British era.
Andaman & Nicobar Islands	Snorkeling in Andamans	3.6	Snorkeling is another popular water sport among tourists. Sea around Havelock Island serves as one of the best sites for snorkeling.
Andaman & Nicobar Islands	Ross Island	4.4	A couple of kilometers away from Port Blair, Ross Islands were the British administrative headquarters of the islands till 1941.
Andaman & Nicobar Islands	Viper Island	3.6	Years before Cellular Jail was constructed, Viper Island was used by the British to keep the freedom fighters in exile. You can still see the remains of the jail which was built in 1867 by the British.
Andaman & Nicobar Islands	Neil Island	4.4	Neil Island is a beautiful island which is more peaceful and less crowded than Havelock. It is a long stretch of sandy beaches from where one can admire the crystal blue water.
Andaman & Nicobar Islands	Baratang Island	3.9	Baratang Island, also known as Ranchiwalas Island, is a beautiful little island in the North and Middle Andaman Administrative district and is situated about 100 kilometres away from the capital city of Port Blair by road. The island is well-known for its mangroves, mud volcanoes and limestone caves. However, you may need to take permission from the Forest Department at Baratang to explore these caves. India's only Mud Volcano is located on this island. Unlike Havelock Island, Baratang Island is not as developed for urban tourism and mostly serves as a hub for natural sightseeing. You can reach Baratang island via the government ferry service that runs between Port Blair city at the Phoenix Bay Jetty.
Andaman & Nicobar Islands	Rajiv Gandhi Water Sports Complex	3.9	The picturesque Andaman and Nicobar Islands have a plethora of tourist attractions to ensure a merry time for its tourists. Among these places, for adventure enthusiasts, Rajiv Gandhi Water Sports Complex is a must-visit spot. Also known as the Andaman Water Sports Complex, the place offers a complete fun-package in the form of enthralling water sports activities. Now you must be curious to know the kind of activities Rajiv Gandhi Water Sports Complex hosts – these are paddle boats, row boats, banana boats, parasailing, speed boats, snorkelling, scuba diving, sea walking and much more.
Andaman & Nicobar Islands	Little Andaman	4.4	Little Andaman Island , situated at the southern end of the archipelago and Duncan Passage  separates it from Rutland Island. Among all the Andaman Islands, Little Andaman island is the fourth largest . Moreover, it conducts  package tours for the visitors from  Port Blair to the Little Andaman Island.
Andaman & Nicobar Islands	Barren Island	3.9	Located about 135 kilometres to the northeast of Port Blair, Barren Island is situated at the intersection of the seismically active Indian and Burmese plates and is 1.8 million years old and is home to the only active volcano in the Indian subcontinent. As the name suggests, the island is largely uninhabited, thanks to the volcano eruptions that take place here at frequent intervals. Although sightseeing around the island is not that common, you can obtain permissions from the local forest department to do so. There are a number of ferries and boats that can take you around to visit the island. However, due to the unpredictability of the volcanic eruptions, visitors are not permitted to land on the shores and are offered with a view from the sea, which is quite breathtaking.
Andaman & Nicobar Islands	Shopping in Andaman	3.3	Since tourism is still in its early stages here, so there is not too much that you can buy from here and take as souvenirs for friends and family.
Andaman & Nicobar Islands	Water Sports in Andamans	4.0	Water Sports in Andaman has been a major attraction for adventure seekers and water babies. Although the demand for water sports is fulfilled at various locations in Andaman, Water Sports Complex located in Port Blair is popular for the variety and safety they offer. Whether it is swimming, snorkelling, scuba diving, fishing or just a boat ride, there is something to suit everyone’s desire. The services provided by the complex guarantee an enjoyable time sailing the sea and even exploring it underwater. If one is daring enough, they can even sail through the permitted shoreline of Port Blair on their own all under the watchful eye of the staff. Swimming isn't a prerequisite for any of the activities and thus, tourists can enjoy them without any hesitation.
Andaman & Nicobar Islands	Wandoor Beach	3.6	A small village in the southern part of South Andaman, Wandoor is most recognized for its Mahatma Gandhi Marine National Park.
Andaman & Nicobar Islands	Long Island, Andaman	4.4	Long Island is completely deserted with very minimal infrastructure. This might be a good camping destination if you are looking for some adventure. But be sure to bring your own gear and food arrangement.
Andaman & Nicobar Islands	Corbyn's Cove Beach	3.4	Corbyn's Cove is the nearest beach to Port Blair. It is quite popular among tourists as well as locals.
Andaman & Nicobar Islands	Rutland Island	3.7	Rutland, lined with virgin beaches, is one of the lesser visited of all the islands located in the southern part of Great Andaman archipelago.
Andaman & Nicobar Islands	Parrot Island	3.7	Parrot Island, a peculiar sort of home to thousands of fluttering parrots, looks like a whole new empire of wilderness born out of the salty waters of the Indian Ocean. Every day, hosts of green parrots arrive at the island as a part of their daily ritual, which is a spectacle to behold. Once in a while, we come across something so beautiful yet bizarre, exquisite yet inexplicable, that we find no words to quite describe it. Parrot Island is one such unparalleled destination, nestled quietly amidst the group of Baratang Islands of Andaman and Nicobar. This small island is part of a larger archipelago, all of which are laced with dense tropical forests and mangrove vegetation.
Andaman & Nicobar Islands	Jolly Buoy Island	3.7	Jolly Buoy Island is amongst the archipelago of the Andaman and Nicobar Islands. It is a part of Mahatma Gandhi National Park. The clean and serene water with white sand beaches will provide for a great vacation. You will be able to explore the rich marine life including colourful corals reefs and fishes in this place with the means of water activities.
Andaman & Nicobar Islands	Chidiya Tapu	3.0	Chidia Tapu is a picturesque little village famous for its natural beauty, numerous resident birds and gorgeous views of the sunset. The tiny island, 25 kms from Port Blair is abundant with lush green mangroves and equatorial forests.
Andaman & Nicobar Islands	Samudrika Naval Marine Museum	3.0	The Samudrika Naval Marine Museum, managed by the Indian Navy, is an amazing source of information for details on the environment in the ocean, its ecosystem and its biodiversity. The museum also provides in-depth knowledge on the history and culture of the Andaman and Nicobar Islands.
Andaman & Nicobar Islands	Diglipur	3.0	Diglipur, a large island located in the North Andaman area, is a tourist hotspot and an ecological paradise. The island houses rows of tropical forests, mangroves, and lovely beaches rich in exotic marine life.
Andaman & Nicobar Islands	Elephant Beach	3.0	With its brilliant coral reefs and alluring cyan waters, the Elephant beach is one of the locations that adds to the beach paradise reputation of the Andaman and Nicobar Islands.
Andaman & Nicobar Islands	Mahatma Gandhi Marine National Park	3.5	Located in the south-western coast of the Andaman Islands, Wandur National Park is a marine life conservation area situated at a distance of 25 km from the capital city of Port Blair.
Andaman & Nicobar Islands	Saddle Peak National Park	3.5	"Saddle Peak National Park was established in 1987 in the Andaman district of the Andaman and Nicobar Islands. It is entirely uninhabited by human beings, thus making it safe for preserving wildlife and the environment. The long trip to the park makes it worth it upon experiencing its beauty. The white sand shoreline and the tropical rainforests behind it make it a picturesque, serene image often found behind postcards. The park is famous for its endangered and rare species of animals and plants such as lush tropical forests and animals like the Andaman hill mynah. Again, the lack of human interference makes for a clean and safe environment for these species of living beings. 

The park is a haven for trekkers and adventure-seekers due to its vast size, hiking and trekking opportunities, and long trails. Visitors must navigate by themselves as the island is uninhabited, they won't receive any help from locals. There is an 8 km long trail from the gate of the park to the peak which marks the starting of an adventure that is Saddle Peak National Peak. Tourists generally enjoy what the park has to offer since it contains so many rare species of plants and animals, as well as serene views; it makes the hike worth it. What truly makes the park a must-visit destination is its quietness and stillness that can only be achieved in a place without human interference."
Andaman & Nicobar Islands	Chatham Saw Mill	3.4	Chatham Saw Mill is the biggest and the oldest mill across Asia owned by the Forest Department. The mill is also a storehouse for a variety of woods cut into different shapes and sizes.
